sample	timestamp	elapsed_ms	status_rows	threads_connected	threads_running	threads_cached	threads_created_total	threads_created_per_sec	connections_total	connections_per_sec	questions_total	questions_per_sec	com_select_total	com_select_per_sec	com_insert_total	com_insert_per_sec	com_update_total	com_update_per_sec	com_delete_total	com_delete_per_sec	bytes_received_total	bytes_received_per_sec	bytes_sent_total	bytes_sent_per_sec	buffer_pool_pages_total	buffer_pool_pages_free	buffer_pool_pages_dirty	buffer_pool_read_requests_total	buffer_pool_read_requests_per_sec	buffer_pool_reads_total	buffer_pool_reads_per_sec	buffer_pool_hit_pct	row_lock_current_waits	row_lock_waits_total	row_lock_waits_per_sec	row_lock_time_ms_total	row_lock_time_ms_per_sec	innodb_log_waits_total	innodb_log_waits_per_sec	created_tmp_tables_total	created_tmp_tables_per_sec	created_tmp_disk_tables_total	created_tmp_disk_tables_per_sec	tmp_disk_ratio_pct	aborted_connects_total	aborted_connects_per_sec
26	2026-09-13T03:48:41.076562215Z	26001	24	2	2	1	3	0.000	752	0.000	198680	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28453509	553.024	45061545	850.037	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1187	1.000	0	0.000	0.000	1	0.000
27	2026-09-13T03:48:42.076623161Z	27001	24	2	2	1	3	0.000	752	0.000	198681	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28454062	552.966	45062395	849.948	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1188	1.000	0	0.000	0.000	1	0.000
28	2026-09-13T03:48:43.076597783Z	28001	24	2	2	1	3	0.000	752	0.000	198682	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28454615	553.014	45063245	850.022	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1189	1.000	0	0.000	0.000	1	0.000
29	2026-09-13T03:48:44.076559345Z	29001	24	2	2	1	3	0.000	752	0.000	198683	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28455168	553.021	45064095	850.033	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1190	1.000	0	0.000	0.000	1	0.000
30	2026-09-13T03:48:45.076590623Z	30001	24	2	2	1	3	0.000	752	0.000	198684	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28455721	552.983	45064945	849.973	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1191	1.000	0	0.000	0.000	1	0.000
31	2026-09-13T03:48:46.076511485Z	31001	24	2	2	1	3	0.000	752	0.000	198685	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28456274	553.044	45065795	850.067	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1192	1.000	0	0.000	0.000	1	0.000
32	2026-09-13T03:48:47.07636849Z	32001	24	2	2	1	3	0.000	752	0.000	198686	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28456827	553.079	45066645	850.122	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1193	1.000	0	0.000	0.000	1	0.000
33	2026-09-13T03:48:48.076526733Z	33001	24	2	2	1	3	0.000	752	0.000	198687	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28457380	552.913	45067495	849.866	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1194	1.000	0	0.000	0.000	1	0.000
34	2026-09-13T03:48:49.07649912Z	34001	24	2	2	1	3	0.000	752	0.000	198688	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28457933	553.015	45068345	850.023	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1195	1.000	0	0.000	0.000	1	0.000
35	2026-09-13T03:48:50.076664265Z	35001	24	2	2	1	3	0.000	752	0.000	198689	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28458486	552.909	45069195	849.860	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1196	1.000	0	0.000	0.000	1	0.000
36	2026-09-13T03:48:51.076969273Z	36001	24	2	2	1	3	0.000	752	0.000	198690	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28459039	552.831	45070045	849.741	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1197	1.000	0	0.000	0.000	1	0.000
37	2026-09-13T03:48:52.077355566Z	37002	24	2	2	1	3	0.000	752	0.000	198691	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28459592	552.786	45070895	849.672	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1198	1.000	0	0.000	0.000	1	0.000
38	2026-09-13T03:48:53.076687462Z	38001	24	2	2	1	3	0.000	752	0.000	198692	1.001	32435	0.000	163525	0.000	0	0.000	244	0.000	28460145	553.370	45071745	850.568	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1199	1.001	0	0.000	0.000	1	0.000
39	2026-09-13T03:48:54.076937196Z	39001	24	2	2	1	3	0.000	752	0.000	198693	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28460698	552.862	45072595	849.788	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1200	1.000	0	0.000	0.000	1	0.000
40	2026-09-13T03:48:55.077142245Z	40001	24	2	2	1	3	0.000	752	0.000	198694	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28461251	552.887	45073445	849.826	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1201	1.000	0	0.000	0.000	1	0.000
41	2026-09-13T03:48:56.076521271Z	41001	24	2	2	1	3	0.000	752	0.000	198695	1.001	32435	0.000	163525	0.000	0	0.000	244	0.000	28461804	553.344	45074295	850.528	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1202	1.001	0	0.000	0.000	1	0.000
